,school_holiday
2015-12-24,weihnachtsferien
2015-12-25,weihnachtsferien
2015-12-26,weihnachtsferien
2015-12-27,weihnachtsferien
2015-12-28,weihnachtsferien
2015-12-29,weihnachtsferien
2015-12-30,weihnachtsferien
2015-12-31,weihnachtsferien
2016-01-01,weihnachtsferien
2016-01-02,weihnachtsferien
2016-03-23,osterferien
2016-03-24,osterferien
2016-03-25,osterferien
2016-03-26,osterferien
2016-03-27,osterferien
2016-03-28,osterferien
2016-03-29,osterferien
2016-03-30,osterferien
2016-03-31,osterferien
2016-04-01,osterferien
2016-04-02,osterferien
2016-04-03,osterferien
2016-04-04,osterferien
2016-04-05,osterferien
2016-04-06,osterferien
2016-04-07,osterferien
2016-04-08,osterferien
2016-04-09,osterferien
2016-05-06,pfingstferien
2016-07-25,sommerferien
2016-07-26,sommerferien
2016-07-27,sommerferien
2016-07-28,sommerferien
2016-07-29,sommerferien
2016-07-30,sommerferien
2016-07-31,sommerferien
2016-08-01,sommerferien
2016-08-02,sommerferien
2016-08-03,sommerferien
2016-08-04,sommerferien
2016-08-05,sommerferien
2016-08-06,sommerferien
2016-08-07,sommerferien
2016-08-08,sommerferien
2016-08-09,sommerferien
2016-08-10,sommerferien
2016-08-11,sommerferien
2016-08-12,sommerferien
2016-08-13,sommerferien
2016-08-14,sommerferien
2016-08-15,sommerferien
2016-08-16,sommerferien
2016-08-17,sommerferien
2016-08-18,sommerferien
2016-08-19,sommerferien
2016-08-20,sommerferien
2016-08-21,sommerferien
2016-08-22,sommerferien
2016-08-23,sommerferien
2016-08-24,sommerferien
2016-08-25,sommerferien
2016-08-26,sommerferien
2016-08-27,sommerferien
2016-08-28,sommerferien
2016-08-29,sommerferien
2016-08-30,sommerferien
2016-08-31,sommerferien
2016-09-01,sommerferien
2016-09-02,sommerferien
2016-09-03,sommerferien
2016-10-17,herbstferien
2016-10-18,herbstferien
2016-10-19,herbstferien
2016-10-20,herbstferien
2016-10-21,herbstferien
2016-10-22,herbstferien
2016-10-23,herbstferien
2016-10-24,herbstferien
2016-10-25,herbstferien
2016-10-26,herbstferien
2016-10-27,herbstferien
2016-10-28,herbstferien
2016-10-29,herbstferien
2016-12-23,weihnachtsferien
2016-12-24,weihnachtsferien
2016-12-25,weihnachtsferien
2016-12-26,weihnachtsferien
2016-12-27,weihnachtsferien
2016-12-28,weihnachtsferien
2016-12-29,weihnachtsferien
2016-12-30,weihnachtsferien
2016-12-31,weihnachtsferien
2017-04-07,osterferien
2017-04-08,osterferien
2017-04-09,osterferien
2017-04-10,osterferien
2017-04-11,osterferien
2017-04-12,osterferien
2017-04-13,osterferien
2017-04-14,osterferien
2017-04-15,osterferien
2017-04-16,osterferien
2017-04-17,osterferien
2017-04-18,osterferien
